Meet,Date,Results
Tim Welsh Classic,"Jan 24–25, 2025","[('100 Y Free', '49.48', '-0.9%'), ('50 Y Free', '22.57', '+0.5%'), ('100 Y Back', '53.88', '-0.7%')]"
"Purdue vs. Kentucky, Notre Dame","Jan 10, 2025","[('100 Y Free', '50.72', '-3.4%'), ('100 Y Back', '54.57', '-2.0%'), ('50 Y Free', '23.30', '-2.7%')]"
Ohio State Invitational,"Nov 21–23, 2024","[('100 Y Free', '49.03', '+1.8%'), ('50 Y Free', '22.68', '+0.6%'), ('100 Y Back', '53.48', '+1.2%')]"
Notre Dame vs Louisville,"Nov 8, 2024","[('100 Y Free', '49.92', '+1.8%'), ('50 Y Free', '22.82', '+6.5%'), ('100 Y Back', '54.11', '+2.6%')]"
Indiana vs Notre Dame,"Oct 23, 2024","[('100 Y Free', '50.86', '+0.8%'), ('100 Y Back', '56.03', '-0.8%'), ('', '', '')]"
"Michigan vs  Notre Dame, Wisconsin","Oct 18–19, 2024","[('100 Y Free', '51.25', '+0.8%'), ('200 Y Back', '2:02.05', '–'), ('100 Y Back', '55.56', '+0.3%')]"
Notre Dame vs Miami (OH),"Oct 11, 2024","[('100 Y Free', '51.67', '–'), ('100 Y Back', '55.75', '–'), ('50 Y Free', '24.41', '–')]"
Speedo Sectionals - Westmont,"Jul 11–14, 2024","[('100 L Back', '1:03.61', '+1.5%'), ('200 L IM', '2:20.47', '-0.2%'), ('100 L Free', '57.77', '-0.1%')]"
CSCAA NIC LC Time Trials,"Mar 17, 2024","[('200 L IM', '2:20.19', '+2.2%'), ('', '', ''), ('', '', '')]"
FL FAST Time Trials,"Mar 17, 2024","[('200 L IM', '2:20.19', '+2.2%'), ('', '', ''), ('', '', '')]"
CSCAA National Invitational Championship,"Mar 14–16, 2024","[('100 Y Free', '49.38', '-1.2%'), ('200 Y IM', '1:58.96', '+1.6%'), ('50 Y Free', '22.91', '-3.1%')]"
Texas A&M Last Chance Meet,"Feb 29, 2024","[('100 Y Free', '50.48', '-3.4%'), ('50 Y Free', '23.04', '-3.6%'), ('', '', '')]"
